"RouteID","PaymentPlan","StartHub","StartLatitude","StartLongitude","StartDate","StartTime","EndHub","EndLatitude","EndLongitude","EndDate","EndTime","TripType","BikeID","BikeName","Distance_Miles","Duration","RentalAccessPath","MultipleRental","Mph"
1374716,"Casual","NW Couch at 11th",45.52374151,-122.6818129,"8/2/2016","16:45","SW Salmon at Waterfront Park",45.51556831,-122.6738924,"8/2/2016","17:03","",5990,"0381 BIKETOWN",5249.56,17.5,"keypad",FALSE,17998.4914285714
1376084,"Casual","SE Water at Taylor",45.51515295,-122.665776,"8/2/2016","19:54","SW Morrison at Pioneer Courthouse Sq.",45.51928859,-122.6792488,"8/2/2016","20:47","",7283,"0722 BIKETOWN",5253.49,53.0166666666667,"keypad",FALSE,5945.47752279158
1819628,"Subscriber","NW 8th at Everett",45.524986,-122.678461,"10/4/2016","7:51","SE 7th at Burnside",45.52269855,-122.6587513,"10/4/2016","8:01","",7410,"0564 BIKETOWN",5249.02,9.8,"keypad",FALSE,32136.8571428571
2309921,"Subscriber","N Failing at Williams",45.55076344,-122.6668663,"1/31/2017","8:41","SW 5th at Main",45.51609691,-122.6790771,"1/31/2017","8:57","",6392,"0306 BIKETOWN ",5247.45,15.8,"keypad",FALSE,19927.0253164557
3124476,"Casual","",45.3020108,-121.7444798,"6/7/2017","12:59","NE Wheeler at Multnomah",45.53086696,-122.6658887,"6/7/2017","13:11","",6616,"0721 BIKETOWN",5248.97,12.0333333333333,"keypad",FALSE,26172.1495844875
3903517,"Subscriber","N Mason at Williams",45.55335313,-122.6669146,"8/4/2017","14:34","NW Couch at 11th",45.52374151,-122.6818129,"8/4/2017","14:53","",7184,"0428 BIKETOWN",5247.41,18.7333333333333,"keypad",FALSE,16806.6512455516
4298322,"Subscriber","SW Naito at Ankeny Plaza",45.52269573,-122.6703492,"9/1/2017","12:16","SW 5th at Main",45.51609691,-122.6790771,"9/1/2017","12:24","",6270,"0050 BIKETOWN",5248.72,7.71666666666667,"keypad",FALSE,40810.7818574514
5039933,"Subscriber","NE MLK at Knott",45.54179953,-122.6614845,"11/1/2017","8:00","NE Multnomah at 9th",45.53140997,-122.6574612,"11/1/2017","8:06","",6612,"0794 BIKETOWN",5246.44,6.18333333333333,"keypad",FALSE,50908.8517520216
5941795,"Casual","SE 14th at Stark",45.51844688,-122.651685,"3/11/2018","15:32","",45.5086689,-122.6587476,"3/11/2018","15:42","",6407,"0740 BIKETOWN",5248.84,10.2833333333333,"keypad",FALSE,30625.322528363
7242673,"Casual","NW 11th at The Fields",45.53232501,-122.6824299,"5/30/2018","16:49","NW 11th at The Fields",45.53232501,-122.6824299,"5/30/2018","17:33","",7344,"1027 AIR SAFARI ",5251.59,43.9666666666667,"keypad",FALSE,7166.68840030326
7629925,"Subscriber","NW 18th at Northrup",45.53142501,-122.6895659,"6/18/2018","14:51","NW 13th at Marshall",45.53080401,-122.6844227,"6/18/2018","14:55","",7178,"0672 BIKETOWN",5247.64,3.38333333333333,"keypad",TRUE,93061.5960591133
7988584,"Casual","SW Park at SW Wright (Oregon Holocaust Memorial) Community Corral",45.52181825,-122.7044079,"7/6/2018","12:37","SW Yamhill at Director Park",45.51898132,-122.6812685,"7/6/2018","12:54","",6889,"0063 BIKETOWN",6307.82,17.1166666666667,"keypad",FALSE,22111.1509250243
9714175,"Subscriber","SE Clay at Water",45.51147657,-122.6662856,"9/26/2018","17:08","",45.5115212,-122.6587287,"9/26/2018","17:14","",7497,"0576 BIKETOWN",5994.67,6.33333333333333,"mobile",FALSE,56791.6105263158
10306714,"Casual","NE 50th at Fremont - Community Corral",45.548276,-122.611164,"11/17/2018","12:24","",45.5164147,-122.6800628,"11/17/2018","13:01","",6646,"0644 BIKETOWN",6698.23,37.6,"keypad_rfid_card",FALSE,10688.664893617
10503880,"Subscriber","SW 12th at Clay",45.51507401,-122.6870298,"12/19/2018","14:24","",45.524665,45.5011717,"12/19/2018","14:43","",6059,"0816 BIKETOWN",6113.09,19.2333333333333,"keypad_rfid_card",FALSE,19070.2980935875
10620001,"Subscriber","",45.5229726,-122.689233,"1/14/2019","2:54","",45.5315321,-122.6814345,"1/14/2019","4:02","",7120,"0314 BIKETOWN",10398.01,67.6,"mobile",FALSE,9229.00295857988
