"RouteID","PaymentPlan","StartHub","StartLatitude","StartLongitude","StartDate","StartTime","EndHub","EndLatitude","EndLongitude","EndDate","EndTime","TripType","BikeID","BikeName","Distance_Miles","Duration","RentalAccessPath","MultipleRental"
2463277,"Subscriber","",NA,NA,2017-03-10,"19:07","",NA,NA,2080-01-05,"16:00","",6821,"0198 BIKETOWN",0,"550700:52:38","keypad",FALSE
2475238,"Subscriber","NW 18th at Northrup",45.53142501,-122.6895659,2017-03-14,"7:42","NW 18th at Northrup",45.53142501,-122.6895659,2080-01-05,"16:00","",7247,"0254 BIKETOWN",0,"550617:17:53","keypad",FALSE
2522822,"Subscriber","SE Clay at Water",45.51147657,-122.6662856,2017-03-24,"11:53","",45.5182262,-122.6937608,1969-12-31,"16:30","",6513,"0076 BIKETOWN",3.07,"","keypad",FALSE
2566711,"Subscriber","",NA,NA,2017-04-02,"1:37","",NA,NA,2080-01-05,"16:00","",6034,"0899 BIKETOWN",0,"550167:22:35","keypad",FALSE
2596071,"Subscriber","",45.559818,-122.6683589,2017-04-07,"7:44","SW Salmon at Waterfront Park",45.51556831,-122.6738924,2080-01-05,"16:00","",6222,"0318 BIKETOWN - LOST",3.11,"550041:15:29","keypad",FALSE
2655418,"Casual","SW Salmon at Waterfront Park",45.51556831,-122.6738924,2017-04-15,"19:08","SW Salmon at Waterfront Park",45.51556831,-122.6738924,1969-12-31,"16:30","",6813,"0823 BIKETOWN",1.4,"","keypad",FALSE
2674282,"Subscriber","SE Ladd at Hawthorne",45.5120818,-122.6533493,2017-04-18,"21:00","SE Ladd at Hawthorne",45.5120818,-122.6533493,2080-01-05,"16:00","errand",7362,"0952 AIR MAX",1.3,"549763:59:42","keypad",FALSE
2728455,"Subscriber","",NA,NA,2017-04-26,"20:20","",NA,NA,2080-01-05,"16:00","",6462,"0275 BIKETOWN ",0,"549572:39:56","keypad_rfid_card",FALSE
3126012,"Subscriber","",NA,NA,2017-06-07,"15:02","",NA,NA,2080-01-05,"16:00","",7362,"0952 AIR MAX",0,"548569:58:13","keypad",FALSE
3199331,"Casual","",45.5546279,-122.6755257,2017-06-13,"13:04","NW Couch at 11th",45.52374151,-122.6818129,1969-12-31,"16:30","",6158,"0911 BIKETOWN",11.14,"","keypad_rfid_card",FALSE
3209459,"Casual","NW 8th at Everett - Disabled",45.524986,-122.678461,2017-06-14,"9:20","N Failing at Williams",45.55076344,-122.6668663,1969-12-31,"16:30","",6205,"0834 BIKETOWN",4.4,"","mobile",FALSE
3214507,"Subscriber","",NA,NA,2017-06-14,"15:31","SW 5th at Morrison",45.51889487,-122.6774061,2080-01-05,"16:00","",6530,"0039 BIKETOWN",0,"548401:28:36","keypad",FALSE
3325520,"Subscriber","",NA,NA,2017-06-23,"16:49","",NA,NA,1969-12-31,"16:30","",6253,"0753 BIKETOWN",0,"","keypad",FALSE
3338879,"Subscriber","",45.5252069,-122.6765159,2017-06-24,"18:51","",45.5188708,-122.6718121,1969-12-31,"16:30","",7354,"0998 AIR SAFARI",12.97,"","keypad_rfid_card",FALSE
3365687,"Subscriber","",NA,NA,2017-06-26,"20:18","N Mississippi at Beech",45.54998583,-122.6756573,2080-01-05,"16:00","",6432,"0660 BIKETOWN",0,"548108:41:18","keypad",TRUE
3449694,"Subscriber","",NA,NA,2017-07-03,"5:54","SE 34th at Division",45.5048393,-122.6296306,2080-01-05,"16:00","",7344,"1027 AIR SAFARI ",0,"547955:05:27","keypad",FALSE
3547936,"Casual","",45.5165062,-122.6567061,2017-07-10,"12:10","",45.5200764,-122.6571849,1969-12-31,"16:30","",6435,"0197 BIKETOWN",0.34,"","keypad",FALSE
3580600,"Subscriber","NW Everett at 22nd",45.52487653,-122.6965141,2017-07-12,"19:46","SW 2nd at Pine",45.52142066,-122.6726291,2080-01-05,"16:00","",6650,"0814 BIKETOWN",8.58,"547725:14:05","keypad",FALSE
3680195,"Subscriber","",NA,NA,2017-07-19,"22:30","",NA,NA,2080-01-05,"16:00","",6659,"0154 BIKETOWN",0,"547554:29:42","keypad",FALSE
3777495,"Subscriber","NW Naito at Ironside",45.52871176,-122.674166,2017-07-26,"18:49","",45.5546299,-122.6760619,1969-12-31,"16:30","",6486,"0653 BIKETOWN",2.36,"","keypad",FALSE
3864361,"Subscriber","",NA,NA,2017-08-01,"21:16","",NA,NA,2080-01-05,"16:00","",6090,"0138 BIKETOWN",0,"547243:44:08","keypad",FALSE
3897287,"Subscriber","",45.5193484,-122.653644,2017-08-04,"7:27","",45.5193484,-122.653644,2080-01-05,"16:00","",7499,"0782 BIKETOWN",2.21,"547185:33:12","keypad",FALSE
3972142,"Casual","SW 3rd at Ankeny",45.52247868,-122.6732969,2017-08-10,"0:22","SW 3rd at Ankeny",45.52247868,-122.6732969,2080-01-05,"16:00","",6249,"0300 BIKETOWN",0,"547048:37:58","mobile",FALSE
4041416,"Casual","NE 17th at Killingsworth - Community Corral",45.56274555,-122.6480594,2017-08-15,"10:37","NE MLK at Knott",45.54179953,-122.6614845,1969-12-31,"16:30","commute",7248,"0542 BIKETOWN",3.7,"","keypad",TRUE
4198891,"Subscriber","",NA,NA,2017-08-25,"19:32","",NA,NA,2080-01-05,"16:00","",7313,"0985 AIR TRAINER",0,"546669:27:45","keypad",FALSE
4218243,"Casual","",45.5301343,-122.6803455,2017-08-27,"11:25","",45.522513,-122.6702589,1969-12-31,"16:30","",7249,"0201 BIKETOWN",1.14,"","keypad",TRUE
4433814,"Subscriber","",45.5184232,-122.6722964,2017-09-11,"20:45","",45.5201302,-122.6711389,2080-01-05,"16:00","",6073,"0329 BIKETOWN",0.2,"546260:15:00","keypad",TRUE
4498302,"Subscriber","NW Raleigh at 21st",45.53409115,-122.6949424,2017-09-16,"6:16","NW Raleigh at 21st",45.53409115,-122.6949424,2080-01-05,"16:00","",7134,"0205 BIKETOWN",0,"546154:43:43","keypad",FALSE
4577375,"Subscriber","",45.5241715,-122.6502016,2017-09-22,"14:32","NE Sandy at 16th",45.52440674,-122.6497686,2080-01-05,"16:00","",7115,"0387 BIKETOWN",4.26,"546002:27:23","keypad",FALSE
4627289,"Subscriber","",45.5262679,-122.6964618,2017-09-26,"14:00","",45.5262679,-122.6964618,1969-12-31,"17:30","",6874,"0862 BIKETOWN",1.6,"","keypad",FALSE
4717435,"Subscriber","",45.5228877,-122.6464195,2017-10-03,"13:14","",45.5228877,-122.6464195,1969-12-31,"16:30","",6100,"0616 BIKETOWN",0,"","keypad",FALSE
4778001,"Casual","",45.5265656,-122.6802351,2017-10-08,"16:38","",45.5265656,-122.6802351,1969-12-31,"16:30","",7290,"0180 BIKETOWN",0,"","keypad",FALSE
4787515,"Subscriber","",45.525043,-122.6852545,2017-10-09,"14:20","",45.5165636,-122.6863212,1969-12-31,"17:30","",6275,"0826 BIKETOWN",1.66,"","mobile",FALSE
4864512,"Subscriber","",NA,NA,2017-10-16,"10:41","SW 11th at Main - Disabled",45.51748,-122.684565,1969-12-31,"16:30","",7313,"0985 AIR TRAINER",0,"","keypad_rfid_card",FALSE
4961516,"Subscriber","SE 9th at Belmont",45.51633325,-122.6566324,2017-10-24,"19:37","",45.5120818,-122.6425326,1969-12-31,"16:30","",6618,"0663 BIKETOWN",4.23,"","keypad",FALSE
5043754,"Subscriber","SW River at Montgomery",45.50910258,-122.6735169,2017-11-01,"12:54","SE 9th at Belmont",45.51633325,-122.6566324,1969-12-31,"16:30","",6338,"0046 BIKETOWN ",2.09,"","keypad",TRUE
5149288,"Subscriber","",NA,NA,2017-11-12,"18:17","",NA,NA,1969-12-31,"16:30","",6304,"0330 BIKETOWN",0,"","keypad",FALSE
5436727,"Subscriber","",NA,NA,2017-12-29,"22:00","",NA,NA,1969-12-31,"16:30","",7246,"0292 BIKETOWN",0,"","keypad",FALSE
5442581,"Subscriber","",45.5350535,-122.6535419,2017-12-31,"12:24","",45.5350535,-122.6535419,1969-12-31,"16:30","",6058,"0259 BIKETOWN",0,"","keypad",FALSE
