RouteID,PaymentPlan,StartHub,StartLatitude,StartLongitude,StartDate,StartTime,EndHub,EndLatitude,EndLongitude,EndDate,EndTime,TripType,BikeID,BikeName,Distance_Miles,Duration,RentalAccessPath,MultipleRental
12436661,Subscriber,,45.5293888,-122.6813526,10/1/2019,0:03,,45.5263984,-122.6893626,10/1/2019,0:11,,6305,0111 BIKETOWN,0.63,0:07:21,keypad_rfid_card,FALSE
12436663,Casual,NW 2nd at Everett,45.52536699,-122.6725459,10/1/2019,0:04,,45.5299294,-122.6753219,10/1/2019,0:09,,6309,0419 BIKETOWN,0.44,0:05:06,keypad,FALSE
12436667,Subscriber,,45.5231391,-122.6723799,10/1/2019,0:11,,45.5231391,-122.6723799,10/1/2019,0:13,,6403,0830 BIKETOWN,0.01,0:01:43,keypad,FALSE
12436679,Casual,,45.5252254,-122.6755017,10/1/2019,0:32,NW 19th at Johnson,45.52862062,-122.6905073,10/1/2019,0:41,,6587,0241 LST BIKETOWN,0.97,0:09:27,keypad,FALSE
12436684,Casual,,45.5108081,-122.6587334,10/1/2019,0:44,SE Gideon at 12th Ave MAX station,45.50280906,-122.6535398,10/1/2019,0:50,,6883,0493 XM BIKETOWN,0.68,0:05:07,keypad_rfid_card,FALSE
12436689,Casual,,45.5314977,-122.6545881,10/1/2019,0:54,,45.5236506,-122.6607166,10/1/2019,0:58,,7108,0235 BIKETOWN,0.66,0:04:04,mobile,FALSE
12436705,Casual,,45.5192204,-122.6848841,10/1/2019,1:33,,45.5154692,-122.6794042,10/1/2019,1:37,,7265,0370 BIKETOWN,0.52,0:04:39,keypad,FALSE
12436716,Casual,NE 28th at Couch - Community Corral,45.52373453,-122.6372065,10/1/2019,1:58,,45.4933458,-122.6267017,10/1/2019,2:32,,6877,0798 BIKETOWN,2.85,0:33:19,mobile,FALSE
12436722,Subscriber,,45.5338063,-122.6203344,10/1/2019,2:11,NE 11th at Holladay Park,45.53027884,-122.654669,10/1/2019,4:40,,6255,0475 BIKETOWN,3.58,2:29:35,keypad,FALSE
12436754,Subscriber,,45.5230215,-122.679085,10/1/2019,2:56,,45.5279495,-122.6823139,10/1/2019,3:01,,6063,0536 BIKETOWN ,0.54,0:05:01,keypad,FALSE
12436776,Casual,SE 37th at Division - Community Corral,45.504732,-122.62528,10/1/2019,3:20,,45.533781,-122.6169565,10/1/2019,3:44,,5989,0872 BIKETOWN,2.9,0:23:58,mobile,FALSE
12436871,Subscriber,,45.5279495,-122.6823139,10/1/2019,4:26,,45.5230674,-122.6764857,10/1/2019,4:50,,6063,0536 BIKETOWN ,1.18,0:24:43,keypad,FALSE
12436921,Casual,NW Everett at 22nd,45.52487653,-122.6965141,10/1/2019,4:45,SE 2nd Pl at Tilikum Way,45.50624163,-122.6633379,10/1/2019,5:01,,6223,0353 BIKETOWN,2.48,0:15:28,keypad,FALSE
12436944,Casual,,45.5100161,-122.6846943,10/1/2019,4:49,SW 18th at Jefferson,45.51816567,-122.6924908,10/1/2019,4:55,,6335,0034 BIKETOWN,0.88,0:06:19,mobile,FALSE
12437020,Subscriber,,45.5252992,-122.6714625,10/1/2019,5:08,NW 2nd at Everett,45.52536699,-122.6725459,10/1/2019,10:16,,6564,0903 BIKETOWN,3.47,5:07:53,keypad,FALSE
12437103,Subscriber,NW Glisan at 21st,45.52634601,-122.6941484,10/1/2019,5:23,,45.516663,-122.6752883,10/1/2019,6:00,,6798,0811 BIKETOWN ,1.34,0:37:40,keypad,FALSE
12437120,Subscriber,SW Park at Portland Art Museum,45.51592353,-122.6833123,10/1/2019,5:27,,45.5200155,-122.6821151,10/1/2019,5:30,,7245,0551 BIKETOWN,0.35,0:03:01,keypad,FALSE
